cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5472239479657,5472239479714,5472239479745,5472240067102,5472240067128,41821,88,41821,26,41935,2112000000
191,0,5472240079071,5472240079118,5472240079163,5472240168275,5472240168300,6454,92,6454,25,6571,2112000000
182,0,5472283963867,5472283963924,5472283964003,5472285471183,5472285471219,101950,136,101950,36,102122,2112000000
32615,1,5535645283802,5535645283830,5535645283857,5535645566683,5535645566705,92479,55,92479,22,92556,2112000000
32611,1,5535645443703,5535645443733,5535645443762,5535645651240,5535645651263,125701,59,125701,23,125783,2112000000
32616,1,5535645447952,5535645447981,5535645448007,5535645663465,5535645663487,135505,55,135505,22,135582,2112000000
32607,1,5535645449238,5535645449266,5535645449293,5535645672428,5535645672462,143785,55,143785,34,143874,2112000000
32620,1,5535645450425,5535645450456,5535645450482,5535645680252,5535645680276,150810,57,150810,24,150891,2112000000
32631,1,5535645451354,5535645451383,5535645451409,5535645688565,5535645688589,158442,55,158442,24,158521,2112000000
32627,1,5535645452611,5535645452641,5535645452672,5535645696801,5535645696837,165923,61,165923,36,166020,2112000000
32639,1,5535645362258,5535645362297,5535645362317,5535645715507,5535645715558,215791,59,215791,51,215901,2112000000
32612,1,5535645455070,5535645455100,5535645455133,5535645723170,5535645723205,190837,63,190837,35,190935,2112000000
32638,1,5535645456777,5535645456834,5535645456854,5535645730860,5535645730886,197662,77,197662,26,197765,2112000000
32621,1,5535645457787,5535645457818,5535645457850,5535645739081,5535645739104,205213,63,205213,23,205299,2112000000
32633,1,5535645458934,5535645458964,5535645458991,5535645747128,5535645747152,212460,57,212460,24,212541,2112000000
32619,1,5535645460610,5535645460651,5535645460671,5535645754508,5535645754538,218906,61,218906,30,218997,2112000000
32630,1,5535645461498,5535645461529,5535645461556,5535645762640,5535645762664,226372,58,226372,24,226454,2112000000
32617,1,5535645446738,5535645446767,5535645446801,5535645770218,5535645770242,242972,63,242972,24,243059,2112000000
32637,1,5535645371828,5535645371857,5535645371883,5535645778199,5535645778225,273570,55,273570,26,273651,2112000000
32634,1,5535645361140,5535645361170,5535645361195,5535645785518,5535645785675,286593,55,286593,157,286805,2112000000
32610,1,5535645462521,5535645462552,5535645462578,5535645793358,5535645793411,256395,57,256395,53,256505,2112000000
32618,1,5535645485193,5535645485224,5535645485248,5535645800954,5535645800977,258371,55,258371,23,258449,2112000000
32608,1,5535645497898,5535645497925,5535645497957,5535645808789,5535645808823,261940,59,261940,34,262033,2112000000
32623,1,5535645499532,5535645499569,5535645499589,5535645818998,5535645819027,271213,57,271213,29,271299,2112000000
32626,1,5535645501237,5535645501263,5535645501300,5535645827385,5535645827411,278788,63,278788,26,278877,2112000000
32636,1,5535645504453,5535645504484,5535645504504,5535645835162,5535645835195,284849,51,284849,33,284933,2112000000
32635,1,5535645506136,5535645506167,5535645506193,5535645843266,5535645843292,292096,57,292096,26,292179,2112000000
32629,1,5535645379656,5535645379687,5535645379713,5535645851721,5535645851744,343007,57,343007,23,343087,2112000000
32625,1,5535645445225,5535645445255,5535645445282,5535645859478,5535645859499,333119,57,333119,21,333197,2112000000
32624,1,5535645496130,5535645496161,5535645496187,5535645867109,5535645867136,321078,57,321078,27,321162,2112000000
32632,1,5535645509344,5535645509373,5535645509403,5535645874638,5535645874679,321775,59,321775,41,321875,2112000000
32622,1,5535645507806,5535645507863,5535645507880,5535645882310,5535645882346,330324,74,330324,36,330434,2112000000
32614,1,5535645494456,5535645494486,5535645494505,5535645890446,5535645890498,345270,49,345270,52,345371,2112000000
32609,1,5535645502938,5535645502973,5535645502993,5535645898319,5535645898357,348837,55,348837,38,348930,2112000000
32628,1,5535645453864,5535645453892,5535645453917,5535645907111,5535645907131,375502,53,375502,20,375575,2112000000
182,0,5535645933386,5535645933887,5535645934146,5535647819609,5535647819636,1598467,760,1598467,27,1599254,2112000000
